,Unnamed: 0,record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,duration,cur_id,batch_id,GT_sql
0,0,bb34cb0a-bb6f-43ff-8602-e9a4e7f9aafe,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"WHERE project_staff.role_code = 'researcher', projects.project_id = project_staff.project_id","The result query didn’t catch the negation and returns the project details of projects that hire staff in a researcher role instead.
",Miss negation,6.946000099,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code  =  'researcher' )
2,64,c9da76da-8852-4f87-b6f7-46fbc71c97f5,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,WHERE project_staff.role_code = 'researcher',"1, ignore the key word ""Not""",Miss negation,720.9490001,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code  =  'researcher' )
1,24,43fe6397-5991-4649-93f7-b2799ca6bdc5,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"JOIN, project_staff, ON, projects.project_id = project_staff.project_id","The phrase of NL query is '...projects which did not hire any staff...'. The Ground truth query is correct which is '...WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff...)', however, the Hypothetical query,'... FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id ...', is incorrect.; The first type of error in Hypothetical query is incorrect representation because of a lack of negation.; The second type of error in Hypothetical query is inappropriate use of syntax because 'JOIN ...ON...' does not support negation and we should use 'NOT IN( SELECT ... FROM ...)'. ",Miss negation; Inappropriate use of syntax; Misunderstand the NLQ. ,1590.209,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code  =  'researcher' )
0,0,07cd3641-37d2-4d77-adc6-3145d6a1ed7b,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,JOIN,"The SQL query gives an opposite answer, it actually queries ""projects which hire staff for researcher roles"".",Miss negation,250.24,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code  =  'researcher' )
1,1,6af39e05-6ffe-44be-bd00-6cea7df72725,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games",the model failed to understand the column of interest and returns the number of students and the student id instead; the model uses the wrong table,Misunderstand column; refer to incorrect column,77.39700007,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
5,66,586c3ee8-a8b9-465b-9e75-e00e4b21773c,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,,"1, index to a wrong table;
2, didn't understand the meaning of a column, here it is ""how many games"" not ""how many students""",Refer to incorrect table; Misunderstand the NLQ.,97.08200002,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
4,36,17db26fa-b2c6-4cb4-8bbd-f125bf1c45ca,d2cb25e4-9d32-46a8-9c5b-8c885d330032,tianyi,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games","The Result is incorrect. The answer based on the Ground truth query is 100, however, the answer on the produced Result table is 10 and it is only for StuID==1001.; The representation of the Hypothetical query is completely incorrect, because it misunderstands the meaning of the Natural language query. This shows in two ways: first, referring to an incorrect table, 'Sportsinfo' instead of 'plays_games'; second, referring to an incorrect column of the table, 'GameID' instead of 'StuID'.",Refer to incorrect table and column; Misunderstand the NLQ.,6.904000044,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
3,1,083648b7-309e-494b-a65c-f23938a5529e,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid","Return a redundant column ""stuid"".",Return redundant column,156.9660001,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
2,2,02cb1d7d-139d-441f-a721-6ca87e9b5444,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,the result query did not order the result by year descending,Miss sorting,107.1900001,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC"
8,67,f66a55a0-bf2e-4248-b9fa-33ff33b5ef68,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"1, ignore key word: ""order by"";",Miss sorting.,684.2309999,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC"
