,username,sql,error_classification,GT_sql
93,zhengning,SELECT cars_data.accelerate FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE car_names.make = 'amc hornet sportabout (sw',D1c,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';
94,zhengning,SELECT DISTINCT artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.country = 'Bangladesh' AND song.rating > 7,"A1d, CL1","SELECT DISTINCT artist_name FROM artist WHERE country  =  ""Bangladesh"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating  >  7"
95,zhengning,"SELECT hall_of_fame.ballots , COUNT( * ) FROM hall_of_fame GROUP BY hall_of_fame.ballots","CL1, BL3","SELECT yearid ,  count(*) FROM hall_of_fame GROUP BY yearid;"
96,zhengning,SELECT faculty.room FROM faculty WHERE faculty.rank = 'professor' AND faculty.building = 'NEB',D1a,"SELECT Room FROM FACULTY WHERE Rank  =  ""Professor"" AND Building  =  ""NEB"""
97,zhengning,"SELECT checking.balance , savings.balance FROM accounts JOIN checking ON accounts.custid = checking.custid WHERE accounts.name = 'Brown’s'",F4,"SELECT T2.balance ,  T3.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid WHERE T1.name  =  'Brown'"
98,zhengning,"SELECT medicine.name , medicine.trade_name FROM medicine WHERE medicine.fda_approved = 'yes'",D1a,"SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'"
99,zhengning,SELECT project_staff.role_code FROM project_staff WHERE project_staff.staff_id = 1 AND project_staff.date_from = 1 AND project_staff.date_to = 1 AND project_staff.date_from = 1 AND project_staff.date_to = 1,"F3, F4",SELECT role_code FROM Project_Staff WHERE date_from  >  '2003-04-19 15:06:20' AND date_to  <  '2016-03-15 00:33:18'
100,zhengning,"SELECT mountain.id , mountain.name FROM mountain JOIN photos ON mountain.id = photos.mountain_id WHERE mountain.height > 'mountains'",D1,"SELECT T1.id ,  T1.name FROM mountain AS T1 JOIN photos AS T2 ON T1.id  =  T2.mountain_id WHERE T1.height  >  4000"
101,zhengning,"SELECT album.title , album.albumid FROM album JOIN track ON album.albumid = track.albumid WHERE track.unitprice > 1","BN1, CL1","SELECT T1.Title ,  T2.AlbumID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId WHERE T2.UnitPrice  >  1 GROUP BY T2.AlbumID"
102,zhengning,SELECT student.lname FROM sportsinfo JOIN student ON sportsinfo.stuid = student.stuid WHERE sportsinfo.onscholarship = 'y',D1a,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y'
