,unique_nlq
0,Which customers made orders between 2009-01-01 and 2010-01-01? Find their names.
1,What is the founded year of the non public school that was founded most recently?
2,What are the ids of all students who played video games and sports?
3,"What are the names , themes , and number of singers for every concert ?"
4,Show the album names and ids for albums that contain tracks with unit price bigger than 1.
5,What model has the most different versions?
6,What is the maximum and minimum grade point of students who live in NYC?
7,What are the advisors
8,Count the number of video games with Massively multiplayer online game type .
9,How many songs have 4 minute duration?
10,Which district has both stores with less than 3000 products and stores with more than 10000 products?
11,What is the total number of all football games played by scholarship students?
12,Find the city and name of bank branches that provide business loans.
13,What are the names and cities of bank branches that offer loans for business?
14,How many car models are produced by each maker ? Only list the count and the maker full name .
15,How many times in total did the team Boston Red Stockings participate in postseason games?
16,"What is the name, city, country, and elevation for every airport in the city of New York?"
17,Which distinct car models are the produced after 1980?
18,List the names and locations of all stations ordered by their yearly entry exit and interchange amounts.
19,Give me a list of distinct product ids from orders placed between 1975-01-01 and 1976-01-01?
20,How many patients' prescriptions are made by physician John Dorian?
21,Return the number of routes with destination airport in Italy operated by the airline with name 'American Airlines'.
22,Find the total checking and saving balance of all accounts sorted by the total balance in ascending order.
23,How many games were played in city Atlanta in 2000?
24,find the pixel aspect ratio and nation of the tv channels that do not use English.
25,What are the maximum scores the team Boston Red Stockings got when the team won in postseason?
26,"Show the average, minimum, and maximum age for different majors."
27,How many companies are headquartered in the US?
28,What are the names of customers who have both savings and checking accounts?
29,"Count the number of games taken place in park ""Columbia Park"" in 1907."
30,What are the names of the artists that are from the UK and sang songs in English?
31,How many schools have some students playing in goalie and mid positions.
32,What are the number of concerts that occurred in the stadium with the largest capacity ?
33,List the name of physicians who never took any appointment.
34,"For each stadium, how many concerts play there?"
35,Find the number of rooms for different block code?
36,Find the names of all English songs.
37,How many sports do we have?
38,"Which model saves the most gasoline? That is to say, have the maximum miles per gallon."
39,"What are the ids, names and FDA approval status of medicines in descending order of the number of enzymes that it can interact with."
40,How many diffrent dorm amenities are there?
41,List roles that have more than one employee. List the role description and number of employees.
42,Which shops run with no employees? Find the shop names
43,Give the ids for documents that have the budget description 'Government'.
44,What is the total amount of grant money for research?
45,"For each project id, how many staff does it have? List them in increasing order."
46,What are all locations of train stations?
47,What is the content of the series Sky Radio?
48,Show the names of journalists and the names of the events they reported in ascending order
49,What is the average rating of songs produced by female artists?
50,"For each shop, return the number of employees working there and the name of the shop."
51,How many lessons were in cancelled state?
52,What are the names of photos taken with the lens brand 'Sigma' or 'Olympus'?
53,Find the number of schools that have more than one donator whose donation amount is less than 8.5.
54,What are the details of the project with no outcomes?
55,What are the distinct ids of products ordered between 1975-01-01 and 1976-01-01??
56,How many train stations are there?
57,How many cities are there that have more than 3 airports?
58,"For each  airport name, how many routes start at that airport, ordered from most to least?"
59,"Please list the years of film market estimations when the market is in country ""Japan"" in descending order."
60,What are the student ids for those on scholarship in major number 600?
61,What are the name and primarily affiliated department name of each physician?
62,How many airports' names have the word Interanation in them?
63,How much salary did the top 3 well-paid players get in 2001?
64,What are the different product sizes?
65,"Find the first name and last name for the ""CTO"" of the club ""Hopkins Student Enterprises""?"
66,How many countries has more than 2 car makers ?
67,What are the total number of students who are living in a male dorm?
68,Find the number of employees hired in each shop; show the shop name as well.
69,What are the names of artists who have not released any albums?
70,What are the names and trade names of the medcines that are FDA approved?
71,List all the salary values players received in 2010 and 2001.
72,Who are the top 3 players in terms of overall rating?
73,Find the average millisecond length of Latin and Pop tracks.
74,What are the countries that have never participated in any friendly-type competitions?
75,How many employees live in Georgia?
76,What is the maximum total amount paid by a customer? List the customer id and amount.
77,What is the name of each camera lens and the number of photos taken by it? Order the result by the count of photos.
78,Find all procedures which cost more than 1000 or which physician John Wen was trained in.
79,What are the names of the songs that are modern or sung in English?
80,What are the names of the customers who have made two or less orders?
81,"How many cities are there in state ""Colorado""?"
82,Show the names of all the donors except those whose donation amount less than 9.
83,Count the number of tracks that are part of the rock genre.
84,"For each dorm, how many amenities does it have?"
85,Show the names of customers who have at least 2 mailshots with outcome code 'Order'.
86,Show the headquarters that have both companies in banking industry and companies in oil and gas industry.
87,"Find the names of all the products whose stock number starts with ""2""."
88,How many car models are produced in the usa?
89,"What is the sum of checking and savings balances for all customers, ordered by the total balance?"
90,Find the number of games taken place in city Atlanta in 2000.
91,Find the names of the artists who are from UK and have produced English songs.
92,Find the first names and last names of male (sex is M) faculties who live in building NEB.
93,How many students play sports?
94,"What are the ids, names, and FDA approval status for medicines ordered by descending number of possible enzyme interactions?"
95,What is the average height of the players from the college named 'Yale University'?
96,Show ids for all documents in type CV without expense budgets.
97,Which states have more than 2 parks?
98,What are the last names for all scholarship students?
